,dep,lemma,tag
86,['  head_token_index: 67'],"['lemma: "".""']",['  tag: PUNCT']
87,['  head_token_index: 87'],"['lemma: ""https://t.co/ZsnQ0a5euR""']",['  tag: NOUN']
88,[],"['lemma: ""Oír""']",['  tag: VERB']
89,[],"['lemma: ""!""']",['  tag: PUNCT']
90,['  head_token_index: 5'],"['lemma: ""en""']",['  tag: ADP']
91,['  head_token_index: 2'],"['lemma: ""Colombia""']",['  tag: NOUN']
92,['  head_token_index: 5'],"['lemma: ""se""']",['  tag: PRON']
93,['  head_token_index: 5'],"['lemma: ""volver""']",['  tag: VERB']
94,['  head_token_index: 5'],"['lemma: ""moda""']",['  tag: NOUN']
95,['  head_token_index: 9'],"['lemma: ""que""']",['  tag: ADP']
96,['  head_token_index: 9'],"['lemma: ""todos""']",['  tag: PRON']
97,['  head_token_index: 5'],"['lemma: ""tener""']",['  tag: VERB']
98,['  head_token_index: 9'],"['lemma: ""derecho""']",['  tag: NOUN']
99,['  head_token_index: 10'],"['lemma: ""menos""']",['  tag: ADV']
100,['  head_token_index: 13'],"['lemma: ""el""']",['  tag: DET']
101,['  head_token_index: 14'],"['lemma: ""que""']",['  tag: PRON']
102,['  head_token_index: 11'],"['lemma: ""pagar""']",['  tag: VERB']
103,['  head_token_index: 14'],"['lemma: ""imponer""']",['  tag: NOUN']
104,['  head_token_index: 5'],"['lemma: ""!""']",['  tag: PUNCT']
105,['  head_token_index: 5'],"['lemma: ""!""']",['  tag: PUNCT']
106,['  head_token_index: 20'],"['lemma: ""Todo""']",['  tag: DET']
107,['  head_token_index: 20'],"['lemma: ""el""']",['  tag: DET']
108,['  head_token_index: 20'],"['lemma: ""ladrón""']",['  tag: NOUN']
109,['  head_token_index: 20'],"['lemma: ""y""']",['  tag: CONJ']
110,['  head_token_index: 23'],"['lemma: ""el""']",['  tag: DET']
111,['  head_token_index: 20'],"['lemma: ""político""']",['  tag: NOUN']
112,['  head_token_index: 23'],"['lemma: ""y""']",['  tag: CONJ']
113,['  head_token_index: 26'],"['lemma: ""el""']",['  tag: DET']
114,['  head_token_index: 23'],"['lemma: ""venezolano""']",['  tag: NOUN']
115,['  head_token_index: 26'],"['lemma: ""y""']",['  tag: CONJ']
116,['  head_token_index: 30'],"['lemma: ""un""']",['  tag: DET']
117,['  head_token_index: 30'],"['lemma: ""más""']",['  tag: ADV']
118,['  head_token_index: 26'],"['lemma: ""víctima""']",['  tag: NOUN']
119,['  head_token_index: 30'],"['lemma: ""que""']",['  tag: ADP']
120,['  head_token_index: 31'],"['lemma: ""otros""']",['  tag: PRON']
121,['  head_token_index: 20'],"['lemma: "",""']",['  tag: PUNCT']
122,['  head_token_index: 20'],"['lemma: ""pero""']",['  tag: CONJ']
123,['  head_token_index: 20'],"['lemma: ""todos""']",['  tag: PRON']
124,['  head_token_index: 35'],"['lemma: ""a""']",['  tag: ADP']
125,['  head_token_index: 39'],"['lemma: ""el""']",['  tag: DET']
126,['  head_token_index: 39'],"['lemma: ""final""']",['  tag: ADJ']
127,['  head_token_index: 36'],"['lemma: ""víctima""']",['  tag: NOUN']
128,['  head_token_index: 39'],"['lemma: ""de""']",['  tag: ADP']
129,['  head_token_index: 40'],"['lemma: ""pedazo""']",['  tag: NOUN']
130,['  head_token_index: 41'],"['lemma: ""horrible""']",['  tag: ADJ']
131,['  head_token_index: 41'],"['lemma: ""de""']",['  tag: ADP']
132,['  head_token_index: 43'],"['lemma: ""país""']",['  tag: NOUN']
133,['  head_token_index: 46'],"['lemma: ""que""']",['  tag: PRON']
134,['  head_token_index: 41'],"['lemma: ""ser""']",['  tag: VERB']
135,['  head_token_index: 48'],"['lemma: ""un""']",['  tag: DET']
136,['  head_token_index: 46'],"['lemma: ""realidad""']",['  tag: NOUN']
137,['  head_token_index: 35'],"['lemma: "":""']",['  tag: PUNCT']
138,['  head_token_index: 35'],"['lemma: ""de""']",['  tag: ADP']
139,['  head_token_index: 50'],"['lemma: ""malas""']",['  tag: ADJ']
140,['  head_token_index: 20'],"['lemma: ""!""']",['  tag: PUNCT']
141,['  head_token_index: 53'],"['lemma: ""A""']",['  tag: ADP']
142,['  head_token_index: 53'],"['lemma: ""joder""']",['  tag: VERB']
143,['  head_token_index: 53'],"['lemma: ""!""']",['  tag: PUNCT']
144,['  head_token_index: 1'],"['lemma: ""@""']",['  tag: X']
145,['  head_token_index: 1'],"['lemma: ""soyfdelrincon""']",['  tag: VERB']
146,['  head_token_index: 4'],"['lemma: ""Por""']",['  tag: ADP']
147,['  head_token_index: 2'],"['lemma: ""qué""']",['  tag: PRON']
148,['  head_token_index: 1'],"['lemma: ""pedir""']",['  tag: VERB']
149,['  head_token_index: 6'],"['lemma: ""certificar""']",['  tag: ADJ']
150,['  head_token_index: 4'],"['lemma: ""antecedente""']",['  tag: NOUN']
151,['  head_token_index: 6'],"['lemma: ""penales""']",['  tag: ADJ']
152,['  head_token_index: 7'],"['lemma: ""a""']",['  tag: ADP']
153,['  head_token_index: 8'],"['lemma: ""venezolano""']",['  tag: NOUN']
154,['  head_token_index: 4'],"['lemma: ""en""']",['  tag: ADP']
155,['  head_token_index: 10'],"['lemma: ""Ecuador""']",['  tag: NOUN']
156,['  head_token_index: 1'],"['lemma: ""?""']",['  tag: PUNCT']
157,['  head_token_index: 13'],"['lemma: ""Presumir""']",['  tag: VERB']
158,['  head_token_index: 15'],"['lemma: ""nuestro""']",['  tag: PRON']
159,['  head_token_index: 13'],"['lemma: ""delincuencia""']",['  tag: NOUN']
160,['  head_token_index: 13'],"['lemma: ""?""']",['  tag: PUNCT']
161,['  head_token_index: 18'],"['lemma: ""No""']",['  tag: ADV']
162,['  head_token_index: 18'],"['lemma: ""haber""']",['  tag: VERB']
163,['  head_token_index: 18'],"['lemma: ""delincuente""']",['  tag: NOUN']
164,['  head_token_index: 19'],"['lemma: ""de""']",['  tag: ADP']
165,['  head_token_index: 22'],"['lemma: ""otras""']",['  tag: DET']
