,dep,lemma,tag
84,['  head_token_index: 1'],"['lemma: ""banda""']",['  tag: NOUN']
85,['  head_token_index: 3'],"['lemma: ""que""']",['  tag: PRON']
86,['  head_token_index: 1'],"['lemma: ""prostituir""']",['  tag: VERB']
87,['  head_token_index: 3'],"['lemma: ""a""']",['  tag: ADP']
88,['  head_token_index: 4'],"['lemma: ""colombiano""']",['  tag: ADJ']
89,['  head_token_index: 5'],"['lemma: ""y""']",['  tag: CONJ']
90,['  head_token_index: 5'],"['lemma: ""venezolano""']",['  tag: ADJ']
91,['  head_token_index: 3'],"['lemma: ""en""']",['  tag: ADP']
92,['  head_token_index: 1'],"['lemma: ""...""']",['  tag: PUNCT']
93,['  head_token_index: 1'],"['lemma: ""\\\'""']",['  tag: PUNCT']
94,['  head_token_index: 1'],"['lemma: ""Dije""']",['  tag: VERB']
95,['  head_token_index: 3'],"['lemma: ""el""']",['  tag: DET']
96,['  head_token_index: 1'],"['lemma: ""verdad""']",['  tag: NOUN']
97,['  head_token_index: 1'],"['lemma: "",""']",['  tag: PUNCT']
98,['  head_token_index: 1'],"['lemma: ""ser""']",['  tag: VERB']
99,['  head_token_index: 7'],"['lemma: ""un""']",['  tag: DET']
100,['  head_token_index: 5'],"['lemma: ""fábrica""']",['  tag: NOUN']
101,['  head_token_index: 7'],"['lemma: ""de""']",['  tag: ADP']
102,['  head_token_index: 8'],"['lemma: ""niño""']",['  tag: NOUN']
103,['  head_token_index: 9'],"['lemma: ""pobre""']",['  tag: ADJ']
104,['  head_token_index: 7'],"['lemma: ""\\\'""']",['  tag: PUNCT']
105,['  head_token_index: 7'],"['lemma: "":""']",['  tag: PUNCT']
106,['  head_token_index: 7'],"['lemma: ""Rodolfo""']",['  tag: NOUN']
107,['  head_token_index: 13'],"['lemma: ""Hernández""']",['  tag: NOUN']
108,['  head_token_index: 2'],"['lemma: ""Autoridad""']",['  tag: NOUN']
109,[],"['lemma: ""venezolano""']",['  tag: ADJ']
110,['  head_token_index: 2'],"['lemma: ""admitir""']",['  tag: VERB']
111,['  head_token_index: 2'],"['lemma: ""paso""']",['  tag: NOUN']
112,['  head_token_index: 3'],"['lemma: ""de""']",['  tag: ADP']
113,['  head_token_index: 4'],"['lemma: ""estudiante""']",['  tag: NOUN']
114,['  head_token_index: 5'],"['lemma: ""y""']",['  tag: CONJ']
115,['  head_token_index: 5'],"['lemma: ""enfermo""']",['  tag: NOUN']
116,['  head_token_index: 2'],"['lemma: ""...""']",['  tag: PUNCT']
117,['  head_token_index: 1'],"['lemma: ""20""']",['  tag: NUM']
118,['  head_token_index: 1'],"['lemma: ""año""']",['  tag: NOUN']
119,['  head_token_index: 1'],"['lemma: ""de""']",['  tag: ADP']
120,['  head_token_index: 2'],"['lemma: ""cárcel""']",['  tag: NOUN']
121,['  head_token_index: 1'],"['lemma: ""para""']",['  tag: ADP']
122,['  head_token_index: 6'],"['lemma: ""dos""']",['  tag: NUM']
123,['  head_token_index: 4'],"['lemma: ""venezolano""']",['  tag: NOUN']
124,['  head_token_index: 8'],"['lemma: ""que""']",['  tag: PRON']
125,['  head_token_index: 6'],"['lemma: ""asesinar""']",['  tag: VERB']
126,['  head_token_index: 8'],"['lemma: ""a""']",['  tag: ADP']
127,['  head_token_index: 9'],"['lemma: ""reciclador""']",['  tag: NOUN']
128,['  head_token_index: 2'],"['lemma: ""El""']",['  tag: DET']
129,['  head_token_index: 2'],"['lemma: ""\\\'""']",['  tag: PUNCT']
130,['  head_token_index: 2'],"['lemma: ""mami""']",['  tag: NOUN']
131,['  head_token_index: 2'],"['lemma: ""\\\'""']",['  tag: PUNCT']
132,['  head_token_index: 2'],"['lemma: ""de""']",['  tag: ADP']
133,['  head_token_index: 6'],"['lemma: ""El""']",['  tag: DET']
134,['  head_token_index: 4'],"['lemma: ""Parada""']",['  tag: NOUN']
